concert_name,artists,date,time,city,state,price_min,price_max
Kodaline,['Kodaline'],2019-07-26,20:00:00,Clifton Park,NY,N/A,N/A
Beres Hammond - Never Ending Tour,['Beres Hammond'],2019-08-11,20:00:00,Huntington,NY,29.5,29.5
Crown The Empire - Rage Fest With Attila,"['Crown the Empire', 'Attila', 'Veil of Maya', 'Gideon', 'Hawk']",2019-08-07,18:00:00,Huntington,NY,20.0,20.0
The Marias,['The Marias'],2019-07-20,20:00:00,New York,NY,N/A,N/A
Spiedie Fest,"['Spiedie Fest', 'Starship', 'Kansas']",2019-08-02,18:00:00,Binghamton,NY,15.0,15.0
Rufus Du Sol,['RÜFÜS DU SOL'],2019-08-11,21:00:00,Brooklyn,NY,N/A,N/A
Amateur Night At The Apollo,['Amateur Night At The Apollo'],2019-07-24,19:30:00,New York,NY,24.0,24.0
WAR,['WAR'],2019-07-25,17:00:00,Rochester,NY,7.0,7.0
Amateur Night At The Apollo,['Amateur Night At The Apollo'],2019-07-31,19:30:00,New York,NY,24.0,24.0
Stephen Marley,['Stephen Marley'],2019-07-20,20:00:00,Westhampton Beach,NY,N/A,N/A
Gavin DeGraw,['Gavin DeGraw'],2019-08-08,20:00:00,Port Chester,NY,N/A,N/A
Maddie & Tae,['Maddie & Tae'],2019-08-10,20:00:00,Verona,NY,N/A,N/A
